U2,Lambda,Force,RF2,,,,Lambda Crack,Crack Length,,,Time,U2,Lambda2,Force2,,,LambdaC2,Crack2
1.96622,1.393244,204.061,2.04E-01,,,9.85777,1.3943108,17.55,,,,,,,,,,
1.96625,1.39325,203.455,2.03E-01,,,9.85801,1.3943204,17.65,,,,,,,,,,
1.9663,1.39326,202.701,2.03E-01,,,9.8583,1.394332,17.75,,,,,,,,,,
1.96636,1.393272,201.75,2.02E-01,,,9.85867,1.3943468,17.9,,,,,,,,,,
1.96643,1.393286,200.544,2.01E-01,,,9.85914,1.3943656,18.05,,,,,,,,,,
1.96645,1.39329,200.195,2.00E-01,,,9.8596,1.394384,18.25,,,,,,,,,,
1.96647,1.393294,199.897,2.00E-01,,,9.86007,1.3944028,18.4,,,,,,,,,,
1.96649,1.393298,199.527,2.00E-01,,,9.86018,1.3944072,18.45,,,,,,,,,,
1.96652,1.393304,199.052,1.99E-01,,,9.8603,1.394412,18.5,,,,,,,,,,
1.96655,1.39331,198.434,1.98E-01,,,9.86044,1.3944176,18.55,,,,,,,,,,
1.9666,1.39332,197.662,1.98E-01,,,9.86062,1.3944248,18.65,,,,,,,,,,
1.96665,1.39333,196.717,1.97E-01,,,9.86085,1.394434,18.75,,,,,,,,,,
1.96672,1.393344,195.545,1.96E-01,,,9.86113,1.3944452,18.85,,,,,,,,,,
1.96679,1.393358,194.343,1.94E-01,,,9.86149,1.3944596,19,,,,,,,,,,
1.96681,1.393362,193.992,1.94E-01,,,9.8616,1.394464,19.05,,,,,,,,,,
1.96682,1.393364,193.68,1.94E-01,,,9.86174,1.3944696,19.1,,,,,,,,,,
1.96685,1.39337,193.291,1.93E-01,,,9.86191,1.3944764,19.15,,,,,,,,,,
1.96687,1.393374,192.804,1.93E-01,,,9.86213,1.3944852,19.25,,,,,,,,,,
1.96691,1.393382,192.199,1.92E-01,,,9.8624,1.394496,19.35,,,,,,,,,,
1.96695,1.39339,191.442,1.91E-01,,,9.86273,1.3945092,19.5,,,,,,,,,,
1.967,1.3934,190.498,1.90E-01,,,9.86316,1.3945264,19.7,,,,,,,,,,
1.96707,1.393414,189.335,1.89E-01,,,9.86326,1.3945304,19.75,,,,,,,,,,
