B2D1 Dis,B2D1 Force,B1D2 Dis,B1D2 Force,B1D3 Dis,B1D3 Force
1.74031,7.7682,1.07213,26.6395,1.07176,30.1746
1.74233,6.9641,1.07232,27.3111,1.07193,30.1512
1.74444,5.8132,1.07253,27.8158,1.07211,30.1223
1.74628,7.0626,1.07276,28.0165,1.0723,30.1643
1.74833,6.2567,1.07299,27.6309,1.0725,30.4882
1.7504,6.0887,1.07322,26.7221,1.07272,30.7012
1.7523,7.021,1.07345,26.2123,1.07295,30.9477
1.75432,6.6139,1.07366,26.0977,1.07318,31.0819
1.75635,7.219,1.07387,26.3951,1.07341,31.0618
1.75836,7.9711,1.07406,26.553,1.07362,30.9542
1.76036,7.4256,1.07424,26.6447,1.07383,30.5251
1.76225,8.2056,1.07441,26.9402,1.07402,30.0154
1.76436,7.1495,1.07459,27.3211,1.0742,30.0299
1.76636,8.2937,1.07476,27.5974,1.07438,30.8688
1.76829,7.8799,1.07494,27.9248,1.07455,31.4959
1.77032,7.1825,1.07512,28.2489,1.07473,31.1394
1.77235,6.6562,1.07531,28.4209,1.07491,30.9927
1.77437,5.808,1.07551,27.5731,1.0751,31.4833
1.7763,6.5316,1.07573,26.8801,1.07529,31.9875
1.77831,6.7594,1.07595,26.6274,1.0755,31.9746
1.78038,5.645,1.07617,26.7671,1.07571,31.8413
1.78232,6.6622,1.07639,26.9846,1.07592,31.5485
1.78431,6.9775,1.07661,27.6221,1.07614,30.8453
1.78634,6.7296,1.07682,28.3989,1.07635,30.1065
1.78838,8.7136,1.07702,28.5366,1.07656,30.2922
1.79033,7.471,1.07722,28.0057,1.07677,31.1404
1.79226,6.5614,1.07742,27.8456,1.07697,32.1711
1.79437,6.9541,1.07761,27.7394,1.07717,32.3929
1.79603,7.4807,1.0778,27.7483,1.07737,32.2736
,,1.078,27.5546,1.07757,32.3314
,,1.07819,27.4622,1.07776,32.4129
,,1.0784,27.536,1.07796,31.9398
,,1.0786,27.7547,1.07817,31.4667
,,1.0788,28.2973,1.07837,31.5549
,,1.07901,28.7866,1.07858,31.872
,,1.0792,29.0196,1.07879,31.621
,,1.0794,29.0113,1.07899,31.4855
,,1.07959,28.3999,1.07919,31.902
,,1.07979,27.7935,1.07939,32.6775
,,1.07998,27.4664,1.07958,32.9257
,,1.08017,27.8099,1.07976,32.6859
,,1.08037,28.2755,1.07995,32.5142
,,1.08057,28.5469,1.08014,32.2991
,,1.08077,28.8045,1.08033,31.9101
,,1.08098,28.9652,1.08052,31.7827
,,1.0812,29.0365,1.08073,32.099
,,1.08141,29.0375,1.08093,32.6856
,,1.08162,29.015,1.08115,32.9939
,,1.08182,28.8357,1.08136,33.1429
,,1.08201,28.2452,1.08157,33.056
,,1.0822,28.0078,1.08178,33.1903
,,1.08239,28.3199,1.08198,32.9219
,,1.08258,28.8039,1.08218,31.9055
,,1.08277,29.2178,1.08235,30.8903
,,1.08297,29.3612,1.08254,30.3019
,,1.08317,29.483,1.08274,30.042
,,1.08338,29.6978,1.08293,29.9069
,,1.0836,30.0293,1.08313,30.1339
,,1.08383,30.1056,1.08333,30.8188
,,1.08405,29.5211,1.08355,31.1846
,,1.08427,28.8549,1.08377,31.067
,,1.08448,28.4738,1.08399,30.7436
,,1.08467,28.1993,1.08421,30.702
,,1.08485,28.5111,1.08441,30.6466
,,1.08502,29.2084,1.08461,30.5748
,,1.08519,30.192,1.0848,30.4832
,,1.08536,30.6611,1.08497,30.631
,,1.08554,30.4894,1.08514,30.7065
,,1.08573,30.1129,1.08531,30.9022
,,1.08592,29.9501,1.08548,31.47
,,1.08612,29.9666,1.08566,32.3321
,,1.08634,29.7822,1.08585,32.6115
